學校代碼,登入次數,完成老師指派測驗卷數,自我測驗卷數,完成老師指派影片數,自我點播影片數,累積影片總時數,學生編號
084507,9,0,1,0,13,00:41:59,084507_s00346
084507,33,0,9,0,236,20:23:38,084507_s00347
084507,6,0,5,0,7,00:04:58,084507_s00348
084507,38,0,5,0,138,15:37:17,084507_s00349
084507,15,0,1,0,93,09:29:33,084507_s00350
084507,6,0,0,0,15,00:38:47,084507_s00351
084507,11,0,1,0,54,00:40:14,084507_s00352
084507,6,0,3,0,6,00:45:00,084507_s00353
084507,6,0,4,0,13,00:15:02,084507_s00354
084507,8,0,3,0,3,00:21:03,084507_s00355
084507,22,0,50,0,9,00:55:44,084507_s00356
084507,5,0,2,0,8,00:45:39,084507_s00357
084507,5,0,5,0,3,00:01:17,084507_s00358
084507,14,0,3,0,131,06:47:47,084507_s00359
084507,5,0,0,0,8,00:33:43,084507_s00360
084507,7,0,1,0,5,00:16:12,084507_s00361
084507,5,0,1,0,4,00:12:48,084507_s00362
084507,5,0,5,0,3,00:11:02,084507_s00363
084507,9,0,43,0,2,00:06:46,084507_s00364
084507,6,0,1,0,11,00:53:29,084507_s00365
084507,5,0,2,0,5,01:05:14,084507_s00366
084507,4,0,1,0,5,00:21:18,084507_s00367
084507,13,0,0,0,15,00:13:41,084507_s00368
084507,3,0,0,0,1,00:05:42,084507_s00369
084507,6,0,2,0,10,00:26:01,084507_s00370
084507,34,1,56,0,7,00:03:12,084507_s00371
084507,7,0,20,0,6,00:08:49,084507_s00372
084507,7,0,15,0,5,00:37:53,084507_s00373
084507,5,0,9,0,1,00:00:19,084507_s00374
084507,5,0,5,0,0,00:00:00,084507_s00375
084507,5,0,11,0,2,00:00:29,084507_s00376
084507,7,0,12,0,3,00:02:11,084507_s00377
084507,2,0,0,0,0,00:00:00,084507_s00378
084507,6,0,6,0,5,00:04:21,084507_s00379
084507,17,0,10,0,23,02:45:01,084507_s00380
084507,13,0,19,0,1,00:08:49,084507_s00381
084507,4,0,1,0,3,00:29:21,084507_s00382
084507,5,0,0,0,1,00:00:01,084507_s00383
084507,4,0,0,0,4,00:14:40,084507_s00384
084507,2,0,0,0,1,00:00:09,084507_s00385
084507,4,0,1,0,2,00:06:39,084507_s00386
084507,22,0,13,0,36,02:08:14,084507_s00387
084507,6,0,7,0,4,00:06:01,084507_s00388
084507,4,0,0,0,4,00:20:18,084507_s00389
084507,2,0,1,0,0,00:00:00,084507_s00390
084507,1,0,1,0,0,00:00:00,084507_s00391
084507,1,0,1,0,0,00:00:00,084507_s00392
084507,1,0,1,0,0,00:00:00,084507_s00393
084507,1,0,1,0,0,00:00:00,084507_s00394
084507,3,0,2,0,0,00:00:00,084507_s00395
084507,1,0,1,0,0,00:00:00,084507_s00396
084507,1,0,1,0,0,00:00:00,084507_s00397
084507,1,0,1,0,0,00:00:00,084507_s00398
084507,1,0,2,0,0,00:00:00,084507_s00399
084507,1,0,1,0,0,00:00:00,084507_s00400
084507,1,0,1,0,0,00:00:00,084507_s00401
084507,1,0,1,0,0,00:00:00,084507_s00402
084507,1,0,0,0,0,00:00:00,084507_s00403
084507,1,0,1,0,0,00:00:00,084507_s00404
084507,2,0,1,0,0,00:00:00,084507_s00405
084507,1,0,1,0,0,00:00:00,084507_s00406
084507,1,0,1,0,0,00:00:00,084507_s00407
084507,3,0,1,0,1,00:00:04,084507_s00408
084507,1,0,1,0,0,00:00:00,084507_s00409
084507,1,0,1,0,0,00:00:00,084507_s00410
084507,1,0,1,0,0,00:00:00,084507_s00411
084507,1,0,1,0,0,00:00:00,084507_s00412
084507,2,0,1,0,0,00:00:00,084507_s00413
084507,1,0,0,0,0,00:00:00,084507_s00414
084507,1,0,1,0,0,00:00:00,084507_s00415
084507,3,0,3,0,2,00:01:00,084507_s00416
084507,5,0,4,0,3,00:07:30,084507_s00417
084507,4,0,3,0,6,00:04:48,084507_s00418
084507,4,0,4,0,5,00:09:42,084507_s00419
084507,3,0,0,0,2,00:12:42,084507_s00420
084507,3,0,3,0,2,00:09:55,084507_s00421
084507,3,0,3,0,3,00:01:54,084507_s00422
084507,4,0,4,0,1,00:26:08,084507_s00423
084507,4,0,0,0,8,00:09:04,084507_s00424
084507,6,0,11,0,11,00:26:43,084507_s00425
